index,x_model,y_model,z_model,x_real_m,y_real_m,z_real_m,arclength_model,arclength_real_m,segment
158,-33.474693,27.000000,79.129059,-0.994031,0.801765,2.349737,842.807285,25.027162,pool_arc
159,-33.691387,27.500000,83.202332,-1.000466,0.816612,2.470693,846.916848,25.149196,pool_arc
160,-34.014046,28.000000,79.129059,-1.010047,0.831460,2.349737,851.033358,25.271436,pool_arc
161,-36.327072,28.500000,78.461029,-1.078732,0.846307,2.329900,853.492292,25.344454,pool_arc
162,-36.550236,29.000000,77.709061,-1.085359,0.861155,2.307571,854.422485,25.372076,pool_arc
163,-36.803215,29.500000,83.200592,-1.092871,0.876003,2.470642,859.942531,25.535993,pool_arc
164,-37.043030,30.000000,78.529060,-1.099993,0.890850,2.331920,864.646861,25.675689,pool_arc
165,-35.245735,30.500000,78.533272,-1.046622,0.905697,2.332046,866.512414,25.731086,pool_arc
166,-35.499950,31.000000,79.832169,-1.054171,0.920545,2.370616,867.927249,25.773100,pool_arc
167,-35.715126,31.500000,73.408043,-1.060561,0.935392,2.179852,874.374395,25.964548,pool_arc
168,-35.966858,32.000000,83.545486,-1.068036,0.950240,2.480883,884.527282,26.266038,pool_arc
169,-36.175163,32.500000,73.208038,-1.074221,0.965087,2.173913,894.878911,26.573429,pool_arc
170,-38.315750,33.000000,84.522964,-1.137786,0.979935,2.509909,906.405388,26.915708,pool_arc
171,-38.477428,33.500000,74.511147,-1.142587,0.994783,2.212608,916.430987,27.213418,pool_arc
172,-36.684669,34.000000,74.804405,-1.089351,1.009630,2.221317,918.315128,27.269368,pool_arc
